City_ID,City,Lat,Lng,MaxTemp,Humidity,Cloudiness,WindSpeed,Country,Date
158,arys,42.4252,68.795,1.56,71,81,2.61,KZ,1707157994
159,ribeira grande,38.5167,-28.7,18.22,94,75,8.05,PT,1707157967
160,bardai,11.65,7.2333,20.46,15,38,5.24,NG,1707157994
161,taoudenni,22.6783,-3.9836,22.8,9,96,4.12,ML,1707157995
162,badger,64.8,-147.5333,-23.13,78,20,0.0,US,1707157995
163,tura,25.5198,90.2201,16.32,55,100,0.66,IN,1707157995
164,polyarnyy,69.1989,33.4478,-19.54,100,99,2.23,RU,1707157960
165,yamada,39.4667,141.95,-0.09,72,100,3.4,JP,1707157996
166,waliso,8.5333,37.9833,14.89,84,34,1.72,ET,1707157996
167,chibougamau,49.9168,-74.3659,-6.21,73,0,1.54,CA,1707157946
168,celestun,20.8667,-90.4,24.16,53,0,10.36,MX,1707157996
169,brisas de zicatela,15.8369,-97.0419,28.29,69,20,3.6,MX,1707157997
170,pueblo nuevo,23.3833,-105.3833,25.91,8,0,0.94,MX,1707157997
171,sfizef,35.2346,-0.2444,17.72,41,100,1.34,DZ,1707157997
172,hawaiian paradise park,19.5933,-154.9731,19.39,95,100,3.09,US,1707157997
173,iskateley,67.6803,53.1512,-18.88,97,100,1.79,RU,1707157998
174,t'q'ibuli,42.3512,42.9987,3.51,99,100,2.14,GE,1707157998
175,ndjole,-0.1783,10.7649,25.92,91,100,1.18,GA,1707157999
176,ancud,-41.8697,-73.8203,17.51,78,82,6.74,CL,1707157999
177,namibe,-15.1961,12.1522,25.41,79,100,4.62,AO,1707157999
178,chamical,-30.36,-66.314,39.27,24,4,9.2,AR,1707158000
179,laguna,38.421,-121.4238,14.52,84,100,6.69,US,1707158000
180,abalak,58.1286,68.5944,-2.58,97,100,5.48,RU,1707158000
181,paphos,34.7667,32.4167,15.88,63,75,4.63,CY,1707158001
182,bac lieu,9.285,105.7244,24.85,87,19,3.52,VN,1707158001
183,makarov,48.6333,142.8,-17.88,93,16,1.61,RU,1707158001
184,afaahiti,-17.75,-149.2833,23.93,95,100,10.76,PF,1707158002
185,carnarvon,-24.8667,113.6333,27.65,37,11,8.88,AU,1707158002
186,tyukalinsk,55.8732,72.1967,0.29,90,100,9.01,RU,1707158002
187,lodeynoye pole,60.726,33.5531,-8.52,94,95,3.09,RU,1707158002
188,bandarbeyla,9.4942,50.8122,25.57,77,100,5.86,SO,1707158003
189,tobelo,1.7284,128.0095,25.54,85,100,2.75,ID,1707158003
190,al bayda',32.7627,21.7551,10.2,92,72,4.65,LY,1707158003
191,sabha,27.0377,14.4283,12.9,37,0,3.48,LY,1707158003
192,new norfolk,-42.7826,147.0587,11.72,78,93,1.22,AU,1707157960
193,colares,38.7992,-9.4469,16.55,86,0,3.13,PT,1707158004
194,minas de marcona,-15.2119,-75.1103,24.96,60,16,4.61,PE,1707158004
195,tralee,52.2704,-9.7026,11.14,87,40,8.23,IE,1707158004
196,azemmour,33.2895,-8.3425,15.82,74,100,2.42,MA,1707158005
197,faya-largeau,17.9257,19.1043,19.11,21,70,9.87,TD,1707158005
198,bodaybo,57.8506,114.1933,-14.97,93,100,0.78,RU,1707158005
199,haiku-pauwela,20.9219,-156.3051,21.13,75,20,8.94,US,1707158005
200,kaa-khem,51.6833,94.7333,-24.77,95,27,1.44,RU,1707158006
201,hamilton,39.1834,-84.5333,12.0,44,0,4.63,US,1707157899
202,sao vicente,-23.9631,-46.3919,34.1,40,20,2.57,BR,1707158006
203,palm valley,30.1775,-81.3876,15.14,85,100,6.77,US,1707158006
204,reshetylivka,49.565,34.0782,1.73,71,91,10.32,UA,1707158007
205,ebon,4.582,168.6964,28.04,70,100,8.09,MH,1707158007
206,gannan,47.9147,123.5031,-18.69,96,100,0.99,CN,1707158007
207,dzhalagash,45.0833,64.6667,-0.39,83,100,4.2,KZ,1707158008
208,saudarkrokur,65.7461,-19.6394,-8.24,83,100,4.96,IS,1707158008
